
2025/03/26 (22:55:44) | ===> btop++ v.1.4.0
2025/03/26 (22:55:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (13:55:37) | ===> btop++ v.1.4.0
2025/03/27 (13:55:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (14:02:57) | ===> btop++ v.1.4.0
2025/03/27 (14:02:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (14:05:11) | ===> btop++ v.1.4.0
2025/03/27 (14:05:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (14:41:20) | ===> btop++ v.1.4.0
2025/03/27 (14:41:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:08:39) | ===> btop++ v.1.4.0
2025/03/28 (15:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (17:43:10) | ===> btop++ v.1.4.0
2025/03/28 (17:43:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (17:49:41) | ===> btop++ v.1.4.0
2025/03/28 (17:49:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (17:54:20) | ===> btop++ v.1.4.0
2025/03/28 (17:54:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (17:55:02) | ===> btop++ v.1.4.0
2025/03/28 (17:55:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (17:55:44) | ===> btop++ v.1.4.0
2025/03/28 (17:55:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (18:25:41) | ===> btop++ v.1.4.0
2025/03/28 (18:25:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (21:39:54) | ===> btop++ v.1.4.0
2025/03/28 (21:39:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:08:39) | ===> btop++ v.1.4.0
2025/03/29 (15:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:08:46) | ===> btop++ v.1.4.0
2025/03/29 (15:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:38:59) | ===> btop++ v.1.4.0
2025/03/29 (15:38:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (19:20:51) | ===> btop++ v.1.4.0
2025/03/29 (19:20:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (19:53:47) | ===> btop++ v.1.4.0
2025/03/29 (19:53:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:39:40) | ===> btop++ v.1.4.0
2025/03/30 (13:39:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/30 (13:46:28) | INFO: Logger set to INFO

2025/03/31 (17:20:40) | ===> btop++ v.1.4.0
2025/03/31 (17:20:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (18:16:00) | ===> btop++ v.1.4.0
2025/03/31 (18:16:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/31 (18:26:47) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:27:04) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:27:16) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:27:31) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:27:48) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:28:03) | ERROR: Stall in Runner thread, restarting!
2025/03/31 (18:28:15) | ERROR: Stall in Runner thread, restarting!

2025/03/31 (18:51:44) | ===> btop++ v.1.4.0
2025/03/31 (18:51:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (21:29:24) | ===> btop++ v.1.4.0
2025/03/31 (21:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (21:32:38) | ===> btop++ v.1.4.0
2025/03/31 (21:32:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (13:56:05) | ===> btop++ v.1.4.0
2025/04/04 (13:56:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (21:36:07) | ===> btop++ v.1.4.0
2025/04/04 (21:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (22:26:03) | ===> btop++ v.1.4.0
2025/04/06 (22:26:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (11:47:42) | ===> btop++ v.1.4.0
2025/04/19 (11:47:42) | WARNING: Intel GPU: Failed to initialize PMU
